label,value
"Garcia Hernandez  
                        ",232
"Getafe  
                        ",233
"Guindulman  
                        ",234
"Inabanga  
                        ",235
"Jagna  
                        ",236
"Lila  
                        ",237
"Loay  
                        ",238
"Loboc  
                        ",239
"Loon  
                        ",240
"Mabini  
                        ",241
"Maribojoc  
                        ",242
"Panglao  
                        ",243
"Pilar  
                        ",244
"President Carlos P. Garcia  
                        ",245
"Sagbayan  
                        ",246
"San Isidro  
                        ",247
"San Miguel  
                        ",248
"Sevilla  
                        ",249
"Sierra Bullones  
                        ",250
"Sikatuna  
                        ",251
"Talibon  
                        ",252
"Trinidad  
                        ",253
"Tubigon  
                        ",254
"Ubay  
                        ",255
"Valencia  
                        ",256
"Malaybalay City  
                        ",257
"Valencia City  
                        ",258
"Baungon  
                        ",259
"Cabanglasan  
                        ",260
"Damulog  
                        ",261
"Dangcagan  
                        ",262
"Don Carlos  
                        ",263
"Impasug-ong  
                        ",264
"Kadingilan  
                        ",265
"Kalilangan  
                        ",266
"Kibawe  
                        ",267
"Kitaotao  
                        ",268
"Lantapan  
                        ",269
"Libona  
                        ",270
"Malitbog  
                        ",271
"Manolo Fortich  
                        ",272
"Maramag  
                        ",273
"Pangantucan  
                        ",274
"Quezon  
                        ",275
"San Fernando  
                        ",276
"Sumilao  
                        ",277
"Talakag  
                        ",278
"Malolos City  
                        ",279
"Meycauayan City  
                        ",280
"San Jose del Monte City  
                        ",281
"Angat  
                        ",282
"Balagtas  
                        ",283
"Baliuag  
                        ",284
"Bocaue  
                        ",285
"Bulacan  
                        ",286
"Bustos  
                        ",287
"Calumpit  
                        ",288
"Doña Remedios Trinidad  
                        ",289
"Guiguinto  
                        ",290
"Hagonoy  
                        ",291
"Marilao  
                        ",292
"Norzagaray  
                        ",293
"Obando  
                        ",294
"Pandi  
                        ",295
"Paombong  
                        ",296
"Plaridel  
                        ",297
"Pulilan  
                        ",298
"San Ildefonso  
                        ",299
"San Miguel  
                        ",300
"San Rafael  
                        ",301
"Santa Maria  
                        ",302
"Tuguegarao City  
                        ",303
"Abulug  
                        ",304
"Alcala  
                        ",305
"Allacapan  
                        ",306
"Amulung  
                        ",307
"Aparri  
                        ",308
"Baggao  
                        ",309
"Ballesteros  
                        ",310
"Buguey  
                        ",311
"Calayan  
                        ",312
"Camalaniugan  
                        ",313
"Claveria  
                        ",314
"Enrile  
                        ",315
"Gattaran  
                        ",316
"Gonzaga  
                        ",317
"Iguig  
                        ",318
"Lal-lo  
                        ",319
"Lasam  
                        ",320
"Pamplona  
                        ",321
"Peñablanca  
                        ",322
"Piat  
                        ",323
"Rizal  
                        ",324
"Sanchez-Mira  
                        ",325
"Santa Ana  
                        ",326
"Santa Praxedes  
                        ",327
"Santa Teresita  
                        ",328
"Santo Niño  
                        ",329
"Solana  
                        ",330
"Tuao  
                        ",331
"Basud  
                        ",332
"Capalonga  
                        ",333
"Daet  
                        ",334
"Jose Panganiban  
                        ",335
"Labo  
                        ",336
"Mercedes  
                        ",337
"Paracale  
                        ",338
"San Lorenzo Ruiz  
                        ",339
"San Vicente  
                        ",340
"Santa Elena  
                        ",341
"Talisay  
                        ",342
"Vinzons  
                        ",343
"Iriga City  
                        ",344
"Naga City  
                        ",345
"Baao  
                        ",346
"Balatan  
                        ",347
"Bato  
                        ",348
"Bombon  
                        ",349
"Buhi  
                        ",350
"Bula  
                        ",351
"Cabusao  
                        ",352
"Calabanga  
                        ",353
"Camaligan  
                        ",354
"Canaman  
                        ",355
"Caramoan  
                        ",356
"Del Gallego  
                        ",357
"Gainza  
                        ",358
"Garchitorena  
                        ",359
"Goa  
                        ",360
"Lagonoy  
                        ",361
"Libmanan  
                        ",362
"Lupi  
                        ",363
"Magarao  
                        ",364
"Milaor  
                        ",365
"Minalabac  
                        ",366
"Nabua  
                        ",367
"Ocampo  
                        ",368
"Pamplona  
                        ",369
"Pasacao  
                        ",370
"Pili  
                        ",371
"Presentacion  
                        ",372
"Ragay  
                        ",373
"Sagñay  
                        ",374
"San Fernando  
                        ",375
"San Jose  
                        ",376
"Sipocot  
                        ",377
"Siruma  
                        ",378
"Tigaon  
                        ",379
"Tinambac  
                        ",380
"Catarman  
                        ",381
"Guinsiliban  
                        ",382
"Mahinog  
                        ",383
"Mambajao  
                        ",384
"Sagay  
                        ",385
"Roxas City  
                        ",386
"Cuartero  
                        ",387
"Dao  
                        ",388
"Dumalag  
                        ",389
"Dumarao  
                        ",390
"Ivisan  
                        ",391
"Jamindan  
                        ",392
"Ma-ayon  
                        ",393
"Mambusao  
                        ",394
"Panay  
                        ",395
"Panitan  
                        ",396
"Pilar  
                        ",397
"Pontevedra  
                        ",398
"President Roxas  
                        ",399
"Sapi-an  
                        ",400
"Sigma  
                        ",401
"Tapaz  
                        ",402
"Bagamanoc  
                        ",403
"Baras  
                        ",404
"Bato  
                        ",405
"Caramoran  
                        ",406
"Gigmoto  
                        ",407
"Pandan  
                        ",408
"Panganiban  
                        ",409
"San Andres  
                        ",410
"San Miguel  
                        ",411
"Viga  
                        ",412
"Virac  
                        ",413
"Cavite City  
                        ",414
"Dasmariñas City  
                        ",415
"Tagaytay City  
                        ",416
"Trece Martires City  
                        ",417
"Alfonso  
                        ",418
"Amadeo  
                        ",419
"Bacoor  
                        ",420
"Carmona  
                        ",421
"General Mariano Alvarez  
                        ",422
"General Emilio Aguinaldo  
                        ",423
"General Trias  
                        ",424
"Imus  
                        ",425
"Indang  
                        ",426
"Kawit  
                        ",427
"Magallanes  
                        ",428
"Maragondon  
                        ",429
"Mendez  
                        ",430
"Naic  
                        ",431
"Noveleta  
                        ",432
"Rosario  
                        ",433
"Silang  
                        ",434
"Tanza  
                        ",435
"Ternate  
                        ",436
"Bogo City  
                        ",437
"Cebu City  
                        ",438
"Carcar City  
                        ",439
"Danao City  
                        ",440
"Lapu-Lapu City  
                        ",441
"Mandaue City  
                        ",442
"Naga City  
                        ",443
"Talisay City  
                        ",444
"Toledo City  
                        ",445
"Alcantara  
                        ",446
"Alcoy  
                        ",447
"Alegria  
                        ",448
"Aloguinsan  
                        ",449
"Argao  
                        ",450
"Asturias  
                        ",451
"Badian  
                        ",452
"Balamban  
                        ",453
"Bantayan  
                        ",454
"Barili  
                        ",455
"Boljoon  
                        ",456
"Borbon  
                        ",457
"Carmen  
                        ",458
"Catmon  
                        ",459
"Compostela  
                        ",460
"Consolacion  
                        ",461
"Cordoba  
                        ",462
"Daanbantayan  
                        ",463
"Dalaguete  
                        ",464
"Dumanjug  
                        ",465
"Ginatilan  
                        ",466
"Liloan  
                        ",467
"Madridejos  
                        ",468
"Malabuyoc  
                        ",469
"Medellin  
                        ",470
"Minglanilla  
                        ",471
"Moalboal  
                        ",472
"Oslob  
                        ",473
"Pilar  
                        ",474
"Pinamungahan  
                        ",475
"Poro  
                        ",476
"Ronda  
                        ",477
"Samboan  
                        ",478
"San Fernando  
                        ",479
"San Francisco  
                        ",480
"San Remigio  
                        ",481
"Santa Fe  
                        ",482
"Santander  
                        ",483
"Sibonga  
                        ",484
"Sogod  
                        ",485
"Tabogon  
                        ",486
"Tabuelan  
                        ",487
"Tuburan  
                        ",488
"Tudela  
                        ",489
"Compostela  
                        ",490
"Laak  
                        ",491
"Mabini  
                        ",492
"Maco  
                        ",493
"Maragusan  
                        ",494
"Mawab  
                        ",495
"Monkayo  
                        ",496
"Montevista  
                        ",497
"Nabunturan  
                        ",498
"New Bataan  
                        ",499
"Pantukan  
                        ",500
"Kidapawan City  
                        ",501
"Alamada  
                        ",502
"Aleosan  
                        ",503
"Antipas  
                        ",504
"Arakan  
                        ",505
"Banisilan  
                        ",506
"Carmen  
                        ",507
"Kabacan  
                        ",508
"Libungan  
                        ",509
"M'lang  
                        ",510
"Magpet  
                        ",511
"Makilala  
                        ",512
"Matalam  
                        ",513
"Midsayap  
                        ",514
"Pigkawayan  
                        ",515
"Pikit  
                        ",516
"President Roxas  
                        ",517
"Tulunan  
                        ",518
"Panabo City  
                        ",519
"Island Garden City of Samal  
                        ",520
"Tagum City  
                        ",521
"Asuncion  
                        ",522
"Braulio E. Dujali  
                        ",523
"Carmen  
                        ",524
"Kapalong  
                        ",525
"New Corella  
                        ",526
"San Isidro  
                        ",527
"Santo Tomas  
                        ",528
"Talaingod  
                        ",529
"Davao City  
                        ",530
