label,value
AFP Commissary and Exchange Service,352
ARMM - Department of Public Works and Highways,328
Abra State Institute of Science and Technology,30
Adiong Memorial Polytechnic State College,31
Advanced Science and Technology Institute,221
Agricultural Credit Policy Council,12
Agusan del Sur State College of Agriculture and Technology,32
Aklan State University,33
Anti-Money Laundering Council,290
Apayao State College,34
Armed Forces of the Philippines,209
Aurora Pacific Economic Zone and Freeport Authority,402
Aurora State College of Technology,35
Authority of the Freeport Area of Bataan,410
Autonomous Region in Muslim Mindanao (ARMM),329
Bangko Sentral ng Pilipinas,379
Bases Conversion and Development Authority,411
Basilan State College,36
Bataan Peninsula State University,37
Batanes State College,38
Batangas State University,39
Benguet State University,40
Bicol State College of Applied Sciences and Technology,41
Bicol University,42
Biliran Province State University,96
Biodiversity Management Bureau,149
Board of Investments,251
Bohol Island State University,43
Bukidnon State University,44
Bulacan Agricultural State College,45
Bulacan State University,46
Bureau of Broadcast Services,277
Bureau of Communications Services,278
Bureau of Corrections,186
Bureau of Customs,160
Bureau of Fire Protection,178
Bureau of Fisheries and Aquatic Resources,13
Bureau of Immigration,187
Bureau of Internal Revenue,161
Bureau of Jail Management and Penology,179
Bureau of Local Government Finance,162
Bureau of the Treasury,163
Cagayan Economic Zone Authority,345
Cagayan State University,47
Camarines Norte State College,48
Camarines Sur Polytechnic College,49
Camiguin Polytechnic State College,50
Capiz State University,51
Caraga State University,52
Career Executive Service Board,336
Carlos C. Hilado Memorial State College,53
Catanduanes State University,54
Cavite State University,55
Cebu Normal University,56
Cebu Ports Authority,349
Cebu Technological University,57
Center for International Trade Expositions and Missions,403
Central Bicol State University of Agriculture,58
Central Board of Assessment Appeals,164
Central Luzon State University,59
Central Mindanao University,60
Central Philippines State University,61
Civil Aeronautics Board,432
Civil Aviation Authority of the Philippines,360
Civil Service Commission (CSC),337
Clark Development Corporation,344
Clark International Airport Corporation,368
Climate Change Commission,291
Commission on Appointments,1
Commission on Audit (COA),338
Commission on Elections (COMELEC),339
Commission on Filipinos Overseas,292
Commission on Higher Education,293
Commission on Human Rights (CHR),342
Commission on Population,175
Commission on the Filipino Language,294
Compostela Valley State College,62
Construction Industry Authority of the Philippines (CIAP),252
Cooperative Development Authority,327
Cotabato City State Polytechnic College,63
Cotabato Foundation College of Science and Technology,64
Cotabato State University,65
Cottage Industry Technology Center,364
Cotton Development Administration,10
Council for the Welfare of Children,240
Court of Appeals,331
Court of Tax Appeals,332
Credit Information Corporation,412
Cultural Center of the Philippines,413
Cybercrime Investigation and Coordination Center,426
Dangerous Drugs Board  ,295
Davao Oriental State College of Science and Technology,67
Davao del Norte State College,66
Department of Agrarian Reform,9
Department of Agriculture (DA),19
Department of Budget and Management (DBM),23
Department of Education (DepEd),29
Department of Energy (DOE),148
Department of Environment and Natural Resources (DENR),159
Department of Finance (DOF),169
Department of Foreign Affairs (DFA),173
Department of Health (DOH),177
Department of Human Settlements and Urban Development,301
Department of Information and Communications Technology,429
Department of Justice (DOJ),195
Department of Labor and Employment (DOLE),197
Department of National Defense (DND),218
Department of Public Works and Highways (DPWH),219
Department of Science and Technology (DOST),239
Department of Social Welfare and Development (DSWD),244
Department of Social Welfare and Development (DSWD),440
Department of Tourism (DOT),249
Department of Trade and Industry (DTI),255
Department of Transportation,438
Department of the Interior and Local Government (DILG),184
Design Center of the Philippines,253
Development Academy of the Philippines,414
Development Bank of the Philippines,415
Don Honorio Ventura Technological State University,68
Don Mariano Marcos Memorial State University,69
"Dr. Emilio B. Espinosa, Sr. Memorial State College of Agriculture and Technology",70
Duty Free Philippines Corporation,358
Early Childhood Care and Development Council,24
Eastern Samar State University,71
Eastern Visayas State University,72
Ecosystems Research and Development Bureau,150
Employees' Compensation Commission,369
Energy Regulatory Commission,296
Environmental Management Bureau,154
Eulogio 'Amang' Rodriguez Institute of Science and Technology,73
Fertilizer and Pesticide Authority,323
Film Development Council of the Philippines,297
Food and Nutrition Research Institute,222
Foreign Service Institute,170
Forest Management Bureau ,153
Forest Products Research and Development Institute,223
Games and Amusements Board,298
Governance Commission for Government-Owned or Controlled Corporations,299
Government Arsenal,210
Government Procurement Policy Board-Technical Support Office,22
Guimaras State College,74
Home Development Mutual Fund,346
House of Representatives,2
House of Representatives Electoral Tribunal,3
Housing and Land Use Regulatory Board,300
Human Rights Violations Victims' Memorial Commission,341
Ifugao State University,75
Ilocos Sur Polytechnic State College,76
Iloilo Science and Technology University,77
Iloilo State College of Fisheries,78
Industrial Technology Development Institute,224
Information and Communications technology Office,220
Institute for Labor Studies,198
Insurance Commission,165
Intellectual Property Office of the Philippines (IPOPHL),250
Inter-Country Adoption Board,241
Intercontinental Broadcasting Corporation,367
Intramuros Administration,247
Isabela State University,79
J. H. Cerilles State College,80
Jose Rizal Memorial State University,81
Juvenile Justice and Welfare Council,242
Kalinga State University,82
Laguna Lake Development Authority,350
Laguna State Polytechnic University,83
Land Bank of the Philippines,382
Land Management Bureau,151
Land Registration Authority,188
Land Transportation Franchising & Regulatory Board,430
Land Transportation Office,431
Legislative-Executive Development Advisory Council,330
Leyte Normal University,84
Light Rail Transit Authority,406
Livestock Development Council,11
Local Government Academy,180
Local Water Utilities Administration,399
Lung Center of the Philippines,393
MSU-General Santos City,91
MSU-Iligan Institute of Technology,92
MSU-Maguindanao,93
MSU-Naawan,439
MSU-Sulu,94
MSU-Tawi-Tawi College of Technology and Oceanography,95
Mactan-Cebu International Airport Authority,370
Manila International Airport Authority,361
Mariano Marcos State University,85
Marikina Polytechnic College,86
Marinduque State College,87
Maritime Industry Authority (MARINA),433
Metals Industry Research and Development Center,225
Metro Rail Transit 3,362
Metropolitan Manila Development Authority,425
Metropolitan Waterworks and Sewerage System,371
Mindanao Development Authority,302
Mindanao State University,88
Mindoro State College of Agriculture and Technology,89
Mines and Geo-Sciences Bureau,155
Mountain Province State University,90
Movie and Television Review and Classification Board,303
NEDA Regional Office Caraga,256
NEDA Regional Office Cordillera Administrative Region,257
NEDA Regional Office I,258
NEDA Regional Office II,259
NEDA Regional Office III,260
NEDA Regional Office IVA,261
NEDA Regional Office IVB,262
NEDA Regional Office IX,263
NEDA Regional Office V,264
NEDA Regional Office VI,265
NEDA Regional Office VII,266
NEDA Regional Office VIII,267
NEDA Regional Office X,268
NEDA Regional Office XI,269
NEDA Regional Office XII,270
National Academy of Science and Technology,226
National Anti-Poverty Commission,304
National Archives of the Philippines,308
National Book Development Board,25
National Bureau of Investigation,189
National Commission for Culture and the Arts,305
National Commission on Indigenous Peoples,309
National Commission on Muslim Filipinos,310
National Conciliation and Mediation Board,199
National Council for Children's Television,26
National Council on Disability Affairs,243
National Dairy Authority,380
National Defense College of the Philippines,211
National Development Company,365
National Disaster Risk Reduction and Management Council,206
National Economic and Development Authority (NEDA),276
National Electrification Administration,391
National Food Authority,384
National Historical Commission of the Philippines,306
National Home Mortgage Finance Corporation,417
National Housing Authority,418
National Intelligence Coordinating Agency,311
National Irrigation Administration,385
National Kidney and Transplant Institute,394
National Labor Relations Commission,200
