label,value
"NCR - National Capital Region
                          ",16
"CAR - Cordillera Administrative Region
                          ",15
"Region I - Ilocos Region
                          ",1
"Region II - Cagayan Valley
                          ",2
"Region III - Central Luzon
                          ",3
"Region IVA - CALABARZON
                          ",40
"Region IVB - MIMAROPA
                          ",41
"Region V - Bicol Region
                          ",5
"Region VI - Western Visayas
                          ",6
"Region VII - Central Visayas
                          ",7
"Region VIII - Eastern Visayas
                          ",8
"Region IX - Zamboanga Peninsula
                          ",9
"Region X - Northern Mindanao
                          ",10
"Region XI - Davao Region
                          ",11
"Region XII - SOCCSKSARGEN
                          ",12
"Region XIII - Caraga
                          ",13
"BARMM - Bangsamoro Autonomous Region in Muslim Min
                          ",14
